ID,Strategy,StrategyV2,robot learning,RobotLearningV2,Compliance,ComplianceV2,Helpfulness,HelpfulnessV2,Ownership,Thoughts,Purpouse,Quotes,
1175,Aimed for a target,Risk Assessment,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,Felt more like a pair than felt a sense of ownership,Would people take advice from a robot or not,,
1222,Go just below what it popped at before and occasionally increasing it to a high value,Adaptive Strategy,I don't thing it learned my strategy that well,Partially Learned,Yes,Full Compliance,Yes,Helpful,No,,In a competitive situation how much do you trust a robot,,
1312,Trial and error,Random Approach,Well,Well Learned,Yes,Full Compliance,Yes,Helpful,Yes,The robot helps more than once,,,
1354,Initially cautions then aimed for a target,Risk Assessment,Not sure if it was learning ,Uncertain,Initially I followed the robots advice then I used my own judgement,Conditional Compliance,Yes,Helpful,No,"I think the customisation options didn’t give me a feeling of ownership, but it might work for younger age groups
The integration was done well and the text to speech made the experiment more relaxing as it wasn't as mentally taxing",Trust in robots judgment,"I was learning the robot as much as the robot was learning from me
I tested the robot's response
The robot seemed to know when the balloon was going to burst when I asked for advice; its just how much nerve I had to optimise
The robot may have had some inside information to try and encourage me to have confidence in it
It gave me confidence to motivate me to go for a higher score",
1574,Initially I was risky then I settled on a target,Risk Assessment,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,Yes,"I was resonabaly confident it would give me the right answer, I stuck with the devil I know",Understand individual risk taking behaviour,,
1827,Followed a pattern,Pattern Following,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,"Human usually use their emotions and robots are usually right
The robot is just there helping and its just an add on",See if humans can trust and to what level they can trust a robot,,
2182,Initially cautions then aimed for a target,Risk Assessment,It learned the limit that I amed for,Well Learned,At the beginning then no,Conditional Compliance,No,Not Helpful,Yes,"I already had a strategy and it was advising me on a strategy thatI already knew so I didn't actally need its advice
The interation was very short but I may have felt differently if the interaction was longer
I felt like I owned it because I trained it",Is it like the Stanford prison experiment where a being of hier authority give you advice and you follow it?,,
2239,Initially cautions then aimed to slowly increase,Risk Assessment,the robot was a bit more cautions,Partially Learned,Yes mostly,Conditional Compliance,Yes,Helpful,Yes,,To interact with the robot and see if I trust the advice of the robot to improve my performance,,
2358,Initially cautions then aimed for a target,Risk Assessment,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,I would have had more ownership if the robot was more competent and had more free language,Co-working with a robot and sanity checking,,
2408,Initially I was risky then I settled on a target,Risk Assessment,Not well,Not Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,I want to robot to be more interaction and engaging,Study humans changing their mide with the assistance of a robot,,
2434,Initially I was risky then I settled on a target,Risk Assessment,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,Yes,If the robot could give a probability of the balloon bursting then that would help more in deciding my choice,Help people make decisions to chose,,
2493,There was no strategy,Random Approach,It tried to imitate me and was a bit cautious,Partially Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,I think the interaction could include body movement to make it seem more friendly and so that it can connect better to the user,Gain confidence in the end user while doing a task as the advice is kind of a morale boost to users while are unsure about a certain task.,,
2717,Initially I was risky then I settled on a target,Risk Assessment,Not learn a lot,Partially Learned,Not always,Full Compliance,Yes,Helpful,No,"I didn't have a sense of ownership but I did find the robot friendly
It deffinatly influenced my behaviour, I was second guessing myself and I was aware of that",Test trust in a robot in a game and see how that influences the users choices,"The balloon burts a few times when the robot asked me to inflated the balloon so I didn't know if I could trust the robot
The robot was reassuring having something supporting you so I felt like I wanted to follow that advice",
2896,Initially I was risky then I settled on a target,Risk Assessment,Not well,Not Learned,Not always,Conditional Compliance,No,Not Helpful,No,"This is just a algorythim and hardware and I just see it as a tool
Without transparency its hard to trust the robot",Do you feel this robot is just hardware and software or do you feel like this robot is your friend,,
3332,Initially cautions then aimed for a target,Risk Assessment,Well,Well Learned,Not always,Conditional Compliance,Yes,Helpful,No,"If what I was thinking aligned with the robots suggestion then I found I would follow its suggestion
It was nice to get a second opinion",Getting people to trust a robot,,
3357,Initially I was risky then I settled on a target,Risk Assessment,Not sure if it was learning ,Uncertain,Yes mostly,Conditional Compliance,Yes,Helpful,Yes,,Understand human behaviour and assistance by robots,,
3423,Initially cautions then aimed for a target,Risk Assessment,Well,Well Learned,Yes mostly,Conditional Compliance,Yes,Helpful,No,,See if people will learn to trust the robot and if you would deviate from a strategy that you already have,,
3461,"I based the limit I inflated the balloon based on the last balloon limit, it if didn't buts I inflate the next one more and if it burst I inflat the next one less",Adaptive Strategy,Well,Well Learned,Yes,Full Compliance,Yes,Helpful,Yes,"The more choice for customisation would make the robot feel more familiar, i.e. more voice options",Trust between robot and human,,
3528,Initially cautions then aimed for a target,Risk Assessment,I felt it staysed the say throught the process,Not Learned,Yes,Full Compliance,Yes,Helpful,No,If I have more experiences with the robot I would feel more of a connection with the robot,Study human robot interaction on a social level,It was helpful as its better than playing by myself,
3744,Initially I was risky then I settled on a target,Risk Assessment,the robot was a bit more cautions,Partially Learned,Yes mostly,Conditional Compliance,Yes,Helpful,Yes,I need more time with the robto to be more engaged with the robot,,The robot helped me feel confident,
